2020 Tract,ID,Population,Households,Male,Female,Employed,Unemployed,NLF,No education,Primary,Secondary,Graduate,Gen Z,Millennial,Gen X,Baby Boomer,Silent,Poverty Level,Low,Lower Middle,Median,Middle Middle,Upper Middle,High,HH Size,HH Num Kids
185204,CT-1852.04,1643,730,0.50026,0.49974,0.635,0.038,0.327,0.01836,0.05574,0.19148,0.73443,0.18276,0.2144,0.22259,0.29133,0.08893,0.17582,0.03397,0.05894,0.13187,0.13586,0.20779,0.25574,2.62,0.46
185310,CT-1853.1,2518,907,0.51667,0.48333,0.644,0.085,0.271,0.04698,0.1414,0.38791,0.42372,0.25277,0.31686,0.2073,0.15933,0.06373,0.164,0.06,0.129,0.173,0.196,0.192,0.086,3.51,0.85
185320,CT-1853.2,2532,895,0.53196,0.46804,0.632,0.072,0.296,0.04767,0.14348,0.40078,0.40807,0.26323,0.22015,0.24206,0.21723,0.05732,0.30938,0.09581,0.08583,0.17864,0.1487,0.08283,0.0988,3.3,0.6
186100,CT-1861,4185,1874,0.50903,0.49097,0.782,0.065,0.153,0.0063,0.01861,0.19025,0.78483,0.20294,0.27601,0.2417,0.22344,0.05591,0.06607,0.04905,0.07508,0.16316,0.14515,0.18418,0.31732,2.63,0.44
186201,CT-1862.01,3009,1278,0.51192,0.48808,0.65,0.028,0.322,0.01456,0.04367,0.26353,0.67824,0.17339,0.23518,0.2169,0.26198,0.11255,0.22923,0.03403,0.06206,0.18819,0.18218,0.08809,0.21622,2.82,0.53
186202,CT-1862.02,1652,657,0.5224,0.4776,0.709,0.054,0.237,0.00526,0.01654,0.27669,0.7015,0.26581,0.19362,0.29155,0.20649,0.04253,0.07,0.096,0.088,0.152,0.151,0.193,0.25,2.92,0.54
186203,CT-1862.03,2524,1082,0.5098,0.4902,0.77,0.086,0.144,0.01372,0.04075,0.18004,0.76549,0.15827,0.24187,0.25938,0.26688,0.0736,0.024,0.072,0.065,0.107,0.088,0.29,0.354,2.88,0.61
186301,CT-1863.01,2185,833,0.48563,0.51437,0.744,0.121,0.135,0.02581,0.07796,0.33871,0.55753,0.27106,0.34636,0.19902,0.15181,0.03175,0.168,0.134,0.054,0.214,0.088,0.144,0.198,3.3,0.79
186302,CT-1863.02,4742,1915,0.53143,0.46857,0.713,0.088,0.199,0.021,0.06299,0.29026,0.62575,0.1437,0.30969,0.20713,0.27908,0.0604,0.12,0.075,0.103,0.161,0.103,0.191,0.247,2.74,0.32
186401,CT-1864.01,2444,926,0.48906,0.51094,0.687,0.061,0.252,0.0483,0.14543,0.40699,0.39928,0.31772,0.26441,0.23559,0.12896,0.05331,0.302,0.097,0.105,0.226,0.072,0.116,0.082,3.45,0.96
186403,CT-1864.03,2234,826,0.46707,0.53293,0.644,0.056,0.3,0.03624,0.10921,0.35783,0.49673,0.21695,0.29238,0.1983,0.21817,0.07421,0.154,0.12,0.077,0.203,0.16,0.148,0.138,3.39,0.77
186404,CT-1864.04,2363,771,0.51584,0.48416,0.694,0.14,0.166,0.02521,0.07619,0.33165,0.56695,0.32842,0.29348,0.22671,0.10714,0.04425,0.17918,0.07508,0.13714,0.21922,0.11812,0.1011,0.17017,3.6,0.78
187101,CT-1871.01,2873,1217,0.45472,0.54528,0.621,0.036,0.343,0.01797,0.05354,0.19656,0.73193,0.15791,0.24787,0.22521,0.23769,0.13132,0.132,0.007,0.13,0.085,0.227,0.221,0.198,2.59,0.35
187102,CT-1871.02,3714,1631,0.43921,0.56079,0.645,0.085,0.27,0.01944,0.058,0.27057,0.65199,0.18785,0.31089,0.19519,0.2562,0.04987,0.316,0.048,0.067,0.164,0.052,0.151,0.202,2.68,0.45
187200,CT-1872,2937,1047,0.43923,0.56077,0.72,0.067,0.213,0.04079,0.12194,0.25848,0.57879,0.27463,0.31745,0.18352,0.15422,0.07019,0.12613,0.02803,0.10911,0.15115,0.27227,0.2032,0.11011,3.17,0.44
187300,CT-1873,3279,1593,0.55908,0.44092,0.782,0.086,0.132,0.00541,0.01656,0.11828,0.85975,0.17014,0.37768,0.27826,0.13072,0.04319,0.067,0.054,0.086,0.169,0.139,0.104,0.381,2.33,0.31
188100,CT-1881,3655,1909,0.50101,0.49899,0.703,0.02,0.277,0.02174,0.06522,0.26407,0.64898,0.19905,0.35612,0.19852,0.22888,0.01742,0.23377,0.06294,0.13686,0.22278,0.10589,0.14885,0.08891,2.06,0.2
188201,CT-1882.01,2883,1706,0.52422,0.47578,0.834,0.073,0.093,0.00037,0.00147,0.06745,0.9307,0.14272,0.4161,0.25839,0.14141,0.04138,0.11089,0.04196,0.08591,0.18182,0.13986,0.17483,0.26474,1.91,0.22
188202,CT-1882.02,2501,1263,0.53135,0.46865,0.775,0.034,0.191,0.0013,0.00432,0.08042,0.91396,0.12266,0.37227,0.18594,0.22617,0.09297,0.097,0.043,0.045,0.085,0.144,0.192,0.394,2.29,0.34
188300,CT-1883,3351,1386,0.53192,0.46808,0.687,0.065,0.248,0.01106,0.03317,0.26309,0.69268,0.13815,0.28002,0.2399,0.29034,0.05159,0.07892,0.03796,0.12188,0.08691,0.06793,0.24376,0.36264,2.75,0.43
189101,CT-1891.01,2300,1253,0.45538,0.54462,0.807,0.064,0.129,0.00231,0.00645,0.13601,0.85523,0.12163,0.4335,0.26894,0.13426,0.04167,0.144,0.062,0.097,0.122,0.099,0.202,0.274,2.08,0.24
189102,CT-1891.02,3467,1960,0.53081,0.46919,0.823,0.087,0.09,0.00213,0.0061,0.11037,0.8814,0.12493,0.47496,0.20117,0.13912,0.05982,0.094,0.069,0.026,0.136,0.197,0.301,0.177,2.02,0.27
189201,CT-1892.01,2837,1799,0.44301,0.55699,0.722,0.068,0.21,0.01256,0.03805,0.09235,0.85704,0.09976,0.48905,0.20959,0.14738,0.05422,0.28971,0.11189,0.12188,0.13786,0.08192,0.13287,0.12388,1.72,0.14
189202,CT-1892.02,2329,1261,0.50414,0.49586,0.721,0.069,0.21,0.00268,0.00848,0.04909,0.93976,0.09901,0.37294,0.23804,0.21741,0.07261,0.141,0.037,0.069,0.067,0.085,0.241,0.36,2.21,0.4
189300,CT-1893,2634,1472,0.50156,0.49844,0.721,0.062,0.217,0.00668,0.01965,0.07154,0.90212,0.11391,0.24556,0.30305,0.27928,0.0582,0.18,0.029,0.024,0.079,0.017,0.086,0.585,2.18,0.43
