Unnamed: 0,customer,order,total_items,discount%,weekday,hour,Food%,Fresh%,Drinks%,Home%,Beauty%,Health%,Baby%,Pets%,labels,class
11607,3919,11607,0.24626865671641793,1.73,6,10,28.14,47.04,5.74,0.0,19.08,0.0,0.0,0.0,3,5
11608,3919,11608,0.17910447761194032,0.23,2,22,50.99,37.47,11.53,0.0,0.0,0.0,0.0,0.0,2,7
11609,3920,11609,0.2761194029850746,3.7,7,16,35.4,10.33,21.48,32.79,0.0,0.0,0.0,0.0,3,5
11610,3920,11610,0.13432835820895522,0.71,1,8,19.74,0.0,43.06,15.8,0.0,0.0,21.39,0.0,1,1
11611,3920,11611,0.3656716417910448,2.47,2,22,35.83,15.72,27.29,12.08,9.07,0.0,0.0,0.0,2,7
11612,3921,11612,0.29104477611940294,2.53,7,17,11.74,49.51,9.38,23.87,5.49,0.0,0.0,0.0,3,5
11613,3921,11613,0.5149253731343283,0.99,4,20,21.76,47.41,21.67,9.16,0.0,0.0,0.0,0.0,5,6
11614,3922,11614,0.09701492537313433,6.03,5,23,3.0,5.01,58.3,33.69,0.0,0.0,0.0,0.0,1,1
11619,3925,11619,0.08955223880597016,14.6,2,19,0.0,0.0,4.83,0.0,0.0,0.0,95.17,0.0,6,8
11621,3927,11621,0.23880597014925373,5.02,2,19,35.6,26.66,11.01,8.49,18.23,0.0,0.0,0.0,2,7
11622,3927,11622,0.19402985074626866,4.95,3,22,29.56,64.08,4.7,1.65,0.0,0.0,0.0,0.0,5,6
11623,3927,11623,0.17164179104477612,7.47,2,20,32.04,48.17,17.48,2.32,0.0,0.0,0.0,0.0,5,6
11624,3927,11624,0.16417910447761194,4.21,2,19,17.75,47.99,19.23,12.01,3.02,0.0,0.0,0.0,5,6
11625,3927,11625,0.1044776119402985,1.18,3,0,4.12,42.34,38.97,9.29,5.29,0.0,0.0,0.0,5,6
11626,3928,11626,0.0,25.1,3,19,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,7
11627,3929,11627,0.25373134328358204,7.21,1,0,10.64,0.0,0.0,65.8,0.0,0.0,23.56,0.0,4,4
11628,3930,11628,0.0,25.01,2,16,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,6,8
11629,3931,11629,0.09701492537313433,3.7,3,10,0.0,18.57,36.74,2.21,0.0,0.0,42.48,0.0,6,8
11630,3931,11630,0.23134328358208958,9.43,4,23,15.67,6.12,23.29,29.4,2.13,0.0,23.39,0.0,4,4
11631,3931,11631,0.11940298507462688,5.18,4,11,27.9,43.41,0.0,0.0,28.69,0.0,0.0,0.0,0,0
11632,3931,11632,0.26865671641791045,17.8,3,11,21.78,15.49,18.57,32.2,11.96,0.0,0.0,0.0,4,4
11633,3931,11633,0.3134328358208955,6.22,7,21,12.03,22.39,18.2,5.81,8.79,6.75,26.03,0.0,3,5
11634,3931,11634,0.15671641791044777,6.18,1,12,9.46,26.7,43.41,16.15,4.28,0.0,0.0,0.0,1,1
11635,3932,11635,0.26119402985074625,19.46,1,20,15.98,45.4,13.54,12.5,12.57,0.0,0.0,0.0,5,6
11636,3932,11636,0.40298507462686567,15.55,1,0,18.14,66.76,15.1,0.0,0.0,0.0,0.0,0.0,5,6
11637,3932,11637,0.44029850746268656,16.02,4,18,42.09,36.26,6.97,1.04,13.64,0.0,0.0,0.0,3,5
11638,3932,11638,0.26865671641791045,16.92,1,19,6.17,50.52,15.32,14.32,0.0,13.67,0.0,0.0,5,6
11639,3932,11639,0.19402985074626866,16.1,3,12,6.23,49.93,35.58,8.26,0.0,0.0,0.0,0.0,5,6
11640,3932,11640,0.23134328358208958,15.87,1,11,16.52,44.58,27.13,11.78,0.0,0.0,0.0,0.0,5,6
11641,3933,11641,0.1417910447761194,2.67,3,18,31.04,19.08,26.42,0.0,5.32,0.0,0.0,18.14,2,7
11642,3933,11642,0.1044776119402985,7.26,6,12,15.06,14.6,37.2,0.0,0.0,0.0,0.0,33.14,8,9
11643,3933,11643,0.22388059701492538,29.58,7,10,18.63,20.0,23.52,9.99,0.0,0.0,0.0,27.85,8,9
11644,3933,11644,0.30597014925373134,13.36,7,22,41.41,16.06,23.18,15.98,3.36,0.0,0.0,0.0,3,5
11645,3933,11645,0.20149253731343283,10.27,7,16,25.33,20.85,50.03,3.78,0.0,0.0,0.0,0.0,3,5
11646,3933,11646,0.17164179104477612,11.1,6,19,8.68,20.72,44.15,8.52,0.0,0.0,0.0,17.93,3,5
11647,3933,11647,0.1417910447761194,5.36,3,8,6.12,7.03,49.29,12.51,4.68,0.0,0.0,20.36,1,1
11648,3934,11648,0.0,0.0,1,11,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,7,3
11649,3935,11649,0.08208955223880599,9.46,1,9,3.06,7.44,21.37,53.49,14.64,0.0,0.0,0.0,4,4
11652,3937,11652,0.16417910447761194,11.12,5,9,13.57,1.57,46.58,21.67,0.0,0.0,16.62,0.0,1,1
11653,3937,11653,0.1044776119402985,6.98,3,11,12.14,0.0,57.0,13.17,2.03,0.0,15.66,0.0,1,1
11654,3937,11654,0.1044776119402985,2.01,3,9,5.72,0.0,43.25,19.36,1.64,0.0,30.03,0.0,1,1
11655,3938,11655,0.08208955223880599,1.54,7,22,35.1,0.0,60.57,0.0,4.33,0.0,0.0,0.0,1,1
11656,3938,11656,0.11940298507462688,3.87,6,20,30.0,15.09,15.65,31.67,7.6,0.0,0.0,0.0,3,5
11657,3939,11657,0.15671641791044777,10.68,2,15,15.18,14.16,46.52,2.58,0.0,0.0,0.0,21.57,8,9
11658,3939,11658,0.06716417910447761,2.51,3,16,31.23,26.6,5.46,10.45,9.72,0.0,0.0,16.55,2,7
11659,3939,11659,0.02238805970149254,8.3,7,19,4.1,14.42,18.52,26.34,0.0,0.0,0.0,36.61,8,9
11660,3939,11660,0.07462686567164178,8.05,4,9,25.59,11.77,37.3,2.73,0.0,0.0,0.0,22.61,8,9
11661,3939,11661,0.05970149253731343,8.49,1,20,21.83,7.92,9.89,13.78,0.0,0.0,0.0,46.58,8,9
